counter_id,counter_kanji,counter_reading,counter_gloss,number,number_kanji,combined_kanji,generated_reading,jmdict_readings,source,notes,verified_reading
1241380,斤,きん,loaf (of bread),7,七,七斤,ななきん,,generated,,ななきん
1241380,斤,きん,loaf (of bread),8,八,八斤,はっきん,,generated,,はっきん
1241380,斤,きん,loaf (of bread),9,九,九斤,きゅうきん,,generated,,きゅうきん
1241380,斤,きん,loaf (of bread),10,十,十斤,じゅっきん,,generated,,じゅっきん
1241380,斤,きん,loaf (of bread),何,何,何斤,なんきん,,generated,,なんきん
1254490,穴,けつ,hole;notch,1,一,一穴,いっけつ,いっけつ,jmdict_match,,いっけつ
1254490,穴,けつ,hole;notch,2,二,二穴,にけつ,にけつ,jmdict_match,,にけつ
1254490,穴,けつ,hole;notch,3,三,三穴,さんけつ,,generated,,さんけつ
1254490,穴,けつ,hole;notch,4,四,四穴,よんけつ,,generated,,よんけつ
1254490,穴,けつ,hole;notch,5,五,五穴,ごけつ,,generated,,ごけつ
1254490,穴,けつ,hole;notch,6,六,六穴,ろっけつ,,generated,,ろっけつ
1254490,穴,けつ,hole;notch,7,七,七穴,ななけつ,しちけつ,jmdict_mismatch,jmdict has: しちけつ; generated: ななけつ; しちけつ also valid,ななけつ
1254490,穴,けつ,hole;notch,8,八,八穴,はっけつ,,generated,,はっけつ
1254490,穴,けつ,hole;notch,9,九,九穴,きゅうけつ,,generated,,きゅうけつ
1254490,穴,けつ,hole;notch,10,十,十穴,じゅっけつ,,generated,,じゅっけつ
1254490,穴,けつ,hole;notch,何,何,何穴,なんけつ,,generated,,なんけつ
1331020,周,しゅう,counter for laps or circuits,1,一,一周,いっしゅう,いっしゅう,jmdict_match,,いっしゅう
1331020,周,しゅう,counter for laps or circuits,2,二,二周,にしゅう,,generated,,にしゅう
1331020,周,しゅう,counter for laps or circuits,3,三,三周,さんしゅう,,generated,,さんしゅう
1331020,周,しゅう,counter for laps or circuits,4,四,四周,よんしゅう,ししゅう,jmdict_mismatch,jmdict has: ししゅう; generated: よんしゅう; よんしゅう more common as counter,よんしゅう
1331020,周,しゅう,counter for laps or circuits,5,五,五周,ごしゅう,,generated,,ごしゅう
1331020,周,しゅう,counter for laps or circuits,6,六,六周,ろっしゅう,,generated,6 does not get sokuon before s-row,ろくしゅう
