jmdict_id,kanji,reading,jlpt_level,frequency_rank,source
1596960,戦う,たたかう,3,171,waller
1584930,余り,あまり,5,172,waller
1592250,国,くに,5,173,waller
1531710,名前,なまえ,5,174,waller
1473740,買う,かう,5,175,waller
1545820,様子,ようす,3,176,waller
1386460,説明,せつめい,4,177,waller
1169870,飲む,のむ,5,178,waller
1188490,何も,なにも,4,179,audit
1254180,決める,きめる,4,180,waller
1549910,理解,りかい,3,181,waller
1345250,女性,じょせい,4,182,waller
1587290,頂く,いただく,4,183,waller
1223640,起きる,おきる,5,184,waller
1190860,可笑しい,おかしい,4,185,waller
1548550,落ちる,おちる,4,186,waller
1404630,足,あし,5,187,waller
1593670,探す,さがす,4,188,waller
1307850,子供,こども,5,189,waller
2097940,でも無い,でもない,5,190,frequency
1360010,寝る,ねる,5,191,waller
1004550,ことが出来る,ことができる,5,192,frequency
1489700,表情,ひょうじょう,3,193,waller
1445690,怒る,おこる,4,194,waller
1441870,伝える,つたえる,4,195,waller
1347750,小さい,ちいさい,5,196,waller
1588730,選ぶ,えらぶ,4,197,waller
1405790,続く,つづく,4,198,waller
1510640,変,へん,4,199,waller
1456360,読む,よむ,5,200,waller
1449190,当然,とうぜん,5,201,frequency
1315840,時,とき,3,202,waller
1356370,情報,じょうほう,3,203,waller
1291800,座る,すわる,5,204,waller
1604570,見つける,みつける,4,205,waller
1468060,年,とし,5,206,waller
1214330,簡単,かんたん,4,207,waller
1591330,気づく,きづく,3,208,waller
1415000,大変,たいへん,5,209,waller
1590560,可也,かなり,3,210,waller
2036870,お願い,おねがい,5,211,frequency
1207590,掛かる,かかる,5,212,waller
1211510,完全,かんぜん,3,213,waller
1229840,泣く,なく,4,214,waller
1356730,状態,じょうたい,3,215,waller
1013130,様になる,ようになる,5,216,frequency
1365980,進む,すすむ,4,217,waller
1576150,一人,ひとり,5,218,waller
1215810,関係,かんけい,4,219,waller
1277100,向ける,むける,3,220,waller
1252560,軽い,かるい,5,221,waller
1512130,返す,かえす,5,222,waller
1263510,現れる,あらわれる,3,223,waller
1432680,痛い,いたい,5,224,waller
1495770,付ける,つける,5,225,waller
1170650,隠す,かくす,3,226,waller
1341670,準備,じゅんび,4,227,waller
1371260,水,みず,5,228,waller
1589220,落ち着く,おちつく,2,229,waller
1421630,恥ずかしい,はずかしい,4,230,waller
1594400,確り,しっかり,4,231,waller
1454500,得る,うる,3,232,waller
1588760,得る,える,3,233,waller
1430610,直ぐ,すぐ,4,234,audit
1536350,夜,よる,5,235,waller
1346150,勝つ,かつ,4,236,waller
1510650,変える,かえる,4,237,waller
1451180,動き,うごき,3,238,audit
1604580,見つめる,みつめる,5,239,frequency
1594060,幸せ,しあわせ,3,240,waller
1223150,記憶,きおく,3,241,waller
1480210,反応,はんのう,3,242,audit
1189170,何度,なんど,5,243,frequency
1346190,勝手,かって,5,244,frequency
1529410,夢,ゆめ,4,245,waller
1279170,攻撃,こうげき,3,246,waller
1202450,開ける,あける,5,247,waller
1463770,日,ひ,4,248,waller
1202460,開ける,ひらける,5,249,frequency
1534930,黙る,だまる,3,250,waller
1191080,可能性,かのうせい,5,251,frequency
1293780,最近,さいきん,4,252,waller
1362640,深い,ふかい,4,253,waller
1509430,別,べつ,4,254,waller
1591420,決まる,きまる,4,255,waller
1304420,暫く,しばらく,4,256,waller
1589060,行う,おこなう,4,257,waller
1352290,上がる,あがる,4,258,waller
1949190,他,た,3,259,waller
1254690,結果,けっか,3,260,waller
1544730,与える,あたえる,3,261,waller
1454080,道,みち,5,262,waller
1242170,近づく,ちかづく,3,263,audit
1355120,乗る,のる,5,264,waller
1454670,特に,とくに,4,265,waller
1461140,二,に,5,266,waller
1250220,形,かたち,4,267,waller
1483090,彼ら,かれら,4,268,waller
1546220,用意,ようい,4,269,waller
1497980,負ける,まける,4,270,waller
1364440,神,かみ,3,271,waller
1382370,昔,むかし,4,272,waller
1492570,不思議,ふしぎ,3,273,waller
1206730,学校,がっこう,5,274,waller
1156640,意識,いしき,3,275,waller
1402730,送る,おくる,4,276,waller
1531190,娘,むすめ,4,277,waller
1202150,皆,みな,5,278,waller
1153890,安心,あんしん,4,279,waller
1319750,失う,うしなう,3,280,waller
1282100,行動,こうどう,3,281,waller
1357990,触れる,ふれる,3,282,waller
1320230,失礼,しつれい,5,283,frequency
1437260,的,てき,3,284,audit
1394840,全員,ぜんいん,3,285,waller
1348910,少ない,すくない,5,286,waller
1396130,全部,ぜんぶ,5,287,waller
1386840,絶対,ぜったい,3,288,waller
1254730,結局,けっきょく,3,289,waller
1295070,済む,すむ,4,290,waller
1013120,様にする,ようにする,5,291,frequency
1467150,任せる,まかせる,3,292,waller
1383240,赤い,あかい,5,293,waller
1413940,大事,だいじ,4,294,waller
1600260,残す,のこす,3,295,waller
1310620,止まる,とまる,5,296,waller
2657130,止まる,とどまる,2,297,waller
2215340,事にする,ことにする,5,298,frequency
2082450,大,だい,3,299,waller
1491150,不安,ふあん,3,300,waller
1254760,結構,けっこう,5,301,waller
1361490,新しい,あたらしい,5,302,waller
1436540,程度,ていど,3,303,waller
1460850,難しい,むずかしい,5,304,waller
1538130,約束,やくそく,4,305,waller
1533580,面白い,おもしろい,5,306,waller
1444610,渡す,わたす,5,307,waller
1218760,喜ぶ,よろこぶ,4,308,waller
1577200,可愛い,かわいい,5,309,waller
1260720,元気,げんき,5,310,waller
1307500,始まる,はじまる,5,311,waller
1242130,近い,ちかい,5,312,waller
1467530,認める,みとめる,3,313,waller
1228560,急,きゅう,4,314,waller
1229350,求める,もとめる,3,315,waller
1412890,大きな,おおきな,5,316,waller
1192150,家族,かぞく,5,317,waller
1457040,突然,とつぜん,3,318,waller
1318000,自身,じしん,3,319,waller
1381820,静か,しずか,5,320,waller
1429700,飛ぶ,とぶ,5,321,waller
1474910,白い,しろい,5,322,waller
1292300,再び,ふたたび,3,323,waller
1457200,届く,とどく,3,324,waller
1588410,生む,うむ,3,325,audit
1357600,色,いろ,5,326,waller
1445770,倒す,たおす,3,327,waller
1314600,似る,にる,4,328,waller
1603990,町,まち,5,329,waller
1218560,危険,きけん,4,330,waller
1495740,付く,つく,4,331,waller
1467720,熱い,あつい,5,332,waller
1278830,慌てる,あわてる,2,333,waller
1313960,事実,じじつ,3,334,waller
1509480,別に,べつに,3,335,waller
1522370,本気,ほんき,3,336,audit
1574310,頷く,うなずく,5,337,frequency
1399610,想像,そうぞう,3,338,waller
1415870,沢山,たくさん,5,339,waller
1425790,仲間,なかま,3,340,waller
1497360,浮かべる,うかべる,2,341,waller
1509290,壁,かべ,4,342,waller
1341210,瞬間,しゅんかん,3,343,waller
1535560,目的,もくてき,3,344,waller
1255060,血,ち,4,345,waller
1529390,眠る,ねむる,4,346,waller
1596930,確か,たしか,4,347,waller
1576250,一度,いちど,4,348,waller
1335080,十分,じゅうぶん,4,349,waller
1554310,料理,りょうり,5,350,waller
1215230,間,あいだ,4,351,waller
1599420,中々,なかなか,4,352,waller
1377590,正直,しょうじき,3,353,waller
1497610,父,ちち,5,354,frequency
1165670,一杯,いっぱい,4,355,waller
1486360,美しい,うつくしい,4,356,waller
1213400,甘い,あまい,5,357,waller
1310460,上手い,うまい,4,358,waller
1288850,今,いま,5,359,waller
1245280,空,から,3,360,waller
1517090,方法,ほうほう,3,361,waller
1365520,身,み,3,362,waller
2006640,間違いない,まちがいない,5,363,frequency
1320830,実は,じつは,3,364,waller
1421970,遅い,おそい,5,365,waller
1198880,会話,かいわ,4,366,waller
1284430,合う,あう,4,367,waller
1012790,やって来る,やってくる,5,368,frequency
1387280,先に,さきに,4,369,audit
1451170,動かす,うごかす,3,370,waller
1366310,震える,ふるえる,3,371,waller
1351400,笑顔,えがお,3,372,waller
1220570,期待,きたい,3,373,waller
1530030,無事,ぶじ,3,374,waller
1531330,名,な,3,375,waller
1223660,起こす,おこす,4,376,waller
1362490,森,もり,4,377,waller
1158400,移動,いどう,3,378,waller
1323500,邪魔,じゃま,4,379,waller
1542160,遊ぶ,あそぶ,5,380,waller
1546640,要る,いる,5,381,waller
1529550,無くなる,なくなる,4,382,waller
1423000,着る,きる,5,383,waller
1587850,色々,いろいろ,5,384,waller
1189130,,どうぞ,5,385,waller
1551370,立ち上がる,たちあがる,3,386,waller
1333330,襲う,おそう,2,387,audit
1269410,後ろ,うしろ,5,388,waller
1604550,見つかる,みつかる,4,389,waller
1514990,母,はは,5,390,frequency
1429060,調べる,しらべる,4,391,waller
1228650,急ぐ,いそぐ,4,392,waller
1258950,肩,かた,3,393,waller
1589500,降りる,おりる,5,394,waller
1384830,切る,きる,5,395,waller
1313830,事件,じけん,3,396,waller
1512220,返事,へんじ,4,397,waller
1470370,能力,のうりょく,3,398,waller
1602060,酷い,ひどい,4,399,waller
1335750,重い,おもい,5,400,waller
1245470,空気,くうき,4,401,waller
1223680,起こる,おこる,3,402,waller
1226960,逆,ぎゃく,3,403,waller
1222590,気分,きぶん,4,404,waller
1470080,納得,なっとく,3,405,waller
1207270,楽しむ,たのしむ,4,406,waller
1235910,叫ぶ,さけぶ,3,407,waller
1333550,集まる,あつまる,4,408,waller
1279680,構う,かまう,4,409,waller
1212670,慣れる,なれる,4,410,waller
1313580,事,こと,4,411,waller
1169250,引く,ひく,5,412,waller
1201190,海,うみ,5,413,waller
1436730,諦める,あきらめる,3,414,waller
1396590,狙う,ねらう,2,415,waller
1589260,落とす,おとす,4,416,waller
1499490,部分,ぶぶん,3,417,waller
1601890,必死,ひっし,3,418,waller
1431850,珍しい,めずらしい,4,419,waller
